你好嗎。;How are you.
我很好。你呢？;I'm OK. How about you ?
你怎麼了？; What's the matter?
我眼睛痛。;My eye hurts.
可憐的 Chevady! 讓我看看。;Poor Chevady! Let me see.
閉上眼睛。;Close your eyes.
張開眼睛。;Open your eyes.
拍手。;Clap your hands.
摸頭。;Touch your head.
